Course,University,Location,Subject,Link
Battery Materials and Technology (Master of Science),University of Bayreuth,Bayreuth,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8290/
Master of Science in Earth-Oriented Space Science and Technology (ESPACE),Technical University of Munich,München,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3777/
Master of Science in Electrical and Information Engineering,Kiel University,Kiel,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6159/
Master of Science in Manufacturing Technology (MMT),TU Dortmund University,Dortmund,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4300/
Cyber Security,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4785/
Digitalised Energy Systems,Carl von Ossietzky University of Oldenburg,Oldenburg,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8944/
Electrical Communication Engineering (MSc),University of Kassel,Kassel,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3759/
Embedded Systems,Chemnitz University of Technology,Chemnitz,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4493/
Information and Communication Systems,Chemnitz University of Technology,Chemnitz,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4269/
Research in Media Engineering MSc Programme,Technische Universität Ilmenau,Ilmenau,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4147/
Autonomous Systems (MSc),Hochschule Bonn-Rhein-Sieg,Sankt Augustin,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3799/
Master of Science in Communications and Electronics Engineering (MSCE),Technical University of Munich,München,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3768/
MEng Business Engineering,Technical University of Applied Sciences Würzburg-Schweinfurt (THWS),Schweinfurt,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8604/
International Master of Science in Water Resources and Environmental Management (WATENV),Leibniz University Hannover,Hannover,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4124/
"Space Sciences and Technologies – Sensing, Processing, Communication (Space-ST)",University of Bremen,Bremen,"Physics, Astronomy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4771/
Communications and Multimedia Engineering (CME),FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4261/
Communications Engineering – Master's Study Programme,RWTH Aachen University,Aachen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3698/
Electrical Engineering (EE),University of Rostock,Rostock,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4594/
Medical Engineering – Branches of Study: Medical Image and Data Processing | Health and Medical Data Analytics & Entrepreneurship | Medical Robotics,FAU Erlangen-Nürnberg,Erlangen,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4407/
